ticker,status,error,rows_loaded,rows_after_cleaning,adjusted_ohlc_applied,total_trades,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,calmar_ratio,profit_factor,expectancy_per_trade_R,win_rate_pct,ambiguous_exits_pct,benchmark_cagr_pct,benchmark_max_drawdown_pct,benchmark_sharpe,benchmark_calmar_ratio,falsifier_pass,falsifier_failure_reasons,signal_count,rows_reaching_min_score,signal_rate_pct,top_bottlenecks
AAPL,OK,,1258,1258,True,6,109035.97,9.04,1.75,1.87,0.623,0.934,3.782,1.479,66.67,0.0,27.31,31.43,0.921,0.869,False,INSUFFICIENT_TRADES: total_trades=6 < required=30,14,10,1.32,LOW_SIGNAL_SAMPLE: 10 rows reach min_confluence_score (< 30)
MSFT,OK,,1258,1258,True,8,99727.33,-0.27,-0.05,4.01,-0.014,-0.014,0.956,-0.015,25.0,0.0,21.34,37.56,0.787,0.568,False,INSUFFICIENT_TRADES: total_trades=8 < required=30; NEGATIVE_EXPECTANCY: expectancy_per_trade_r=-0.015 <= 0.0; LOW_PROFIT_FACTOR: profit_factor=0.956 < required=1.2; CALMAR_BELOW_BENCHMARK: strategy=-0.014 < benchmark=0.568,13,10,1.23,LOW_SIGNAL_SAMPLE: 10 rows reach min_confluence_score (< 30)
NVDA,OK,,1258,1258,True,12,117543.95,17.54,3.29,2.02,0.868,1.632,4.364,1.381,58.33,0.0,86.48,66.36,1.426,1.303,False,INSUFFICIENT_TRADES: total_trades=12 < required=30,28,27,2.65,LOW_SIGNAL_SAMPLE: 27 rows reach min_confluence_score (< 30)
META,OK,,1258,1258,True,7,108978.85,8.98,1.74,1.14,0.629,1.518,3.727,1.26,57.14,0.0,22.85,76.74,0.686,0.298,False,INSUFFICIENT_TRADES: total_trades=7 < required=30,13,11,1.23,LOW_SIGNAL_SAMPLE: 11 rows reach min_confluence_score (< 30)
GOOGL,OK,,1258,1258,True,8,109134.38,9.13,1.77,1.07,0.579,1.654,3.088,1.126,50.0,0.0,22.63,44.32,0.791,0.511,False,INSUFFICIENT_TRADES: total_trades=8 < required=30,19,16,1.8,LOW_SIGNAL_SAMPLE: 16 rows reach min_confluence_score (< 30)
AMZN,OK,,1258,1258,True,11,100638.56,0.64,0.13,4.01,0.061,0.032,1.079,0.078,27.27,0.0,18.29,56.15,0.647,0.326,False,INSUFFICIENT_TRADES: total_trades=11 < required=30; LOW_PROFIT_FACTOR: profit_factor=1.079 < required=1.2; CALMAR_BELOW_BENCHMARK: strategy=0.032 < benchmark=0.326,18,17,1.7,LOW_SIGNAL_SAMPLE: 17 rows reach min_confluence_score (< 30)
JPM,OK,,1258,1258,True,7,104433.2,4.43,0.87,4.37,0.358,0.2,1.987,0.646,42.86,0.0,11.21,43.99,0.489,0.255,False,INSUFFICIENT_TRADES: total_trades=7 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.200 < benchmark=0.255,13,12,1.23,LOW_SIGNAL_SAMPLE: 12 rows reach min_confluence_score (< 30)
SNOW,OK,,1080,1080,True,5,97325.13,-2.67,-0.63,4.53,-0.293,-0.139,0.525,-0.52,20.0,0.0,-10.97,72.99,0.127,-0.15,False,INSUFFICIENT_TRADES: total_trades=5 < required=30; NEGATIVE_EXPECTANCY: expectancy_per_trade_r=-0.520 <= 0.0; LOW_PROFIT_FACTOR: profit_factor=0.525 < required=1.2,14,6,1.59,LOW_SIGNAL_SAMPLE: 6 rows reach min_confluence_score (< 30)
PLTR,OK,,1070,1070,True,10,106008.7,6.01,1.38,3.98,0.436,0.347,1.945,0.61,40.0,0.0,63.08,84.62,1.031,0.745,False,INSUFFICIENT_TRADES: total_trades=10 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.347 < benchmark=0.745,33,26,3.79,LOW_SIGNAL_SAMPLE: 26 rows reach min_confluence_score (< 30)
CRWD,OK,,1258,1258,True,10,110117.91,10.12,1.95,2.01,0.628,0.969,2.883,0.992,50.0,0.0,47.38,67.69,0.983,0.7,False,INSUFFICIENT_TRADES: total_trades=10 < required=30,29,23,2.74,LOW_SIGNAL_SAMPLE: 23 rows reach min_confluence_score (< 30)
